,ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max
107,ALGO-USD,APT-USD,0.8621323245152166,0.00015166178920861264,1.8665378638223977e-05,,,,,
108,DOT-USD,TON-USD,0.8621179163831857,0.32858787421782076,0.20338224358772516,0.0006136371461205983,0.00022952247569937991,0.00042157981090998906,0.00022952247569937991,0.0006136371461205983
109,NEO-USD,BCH-USD,0.8616479720678347,0.06934641433337502,0.11326969973687262,0.3122552589211194,0.3154308906562403,0.31384307478867984,0.3122552589211194,0.3154308906562403
110,CAKE-USD,LTC-USD,0.8616248286428464,0.24406290499693856,0.21241690757386505,0.4609224868511277,0.42506618521995054,0.4429943360355391,0.42506618521995054,0.4609224868511277
111,XMR-USD,LTC-USD,0.8615520132617996,0.09629483712039766,0.2103245670274247,0.11385575392840908,0.2196944546025596,0.16677510426548434,0.11385575392840908,0.2196944546025596
112,NEXO-USD,XMR-USD,0.8611318981675965,0.13705301752434623,0.09629483712039766,0.10796619165356425,0.06657807218552579,0.08727213191954503,0.06657807218552579,0.10796619165356425
113,FLOKI-USD,FET-USD,0.860813122056665,0.17350689475154707,0.3104624759889294,0.062238911210931225,0.18515355784791365,0.12369623452942244,0.062238911210931225,0.18515355784791365
114,OP-USD,OKB-USD,0.8606717823566051,0.26928540689973,0.6551412380217666,0.22949805769437465,0.35759546397584707,0.2935467608351109,0.22949805769437465,0.35759546397584707
115,BTT-USD,DOT-USD,0.8603709407714641,0.22108490571695216,0.33815806469182674,8.278857787112231e-06,5.355956684224603e-05,3.091921231467913e-05,8.278857787112231e-06,5.355956684224603e-05
116,CAKE-USD,DOT-USD,0.8602167203701809,0.24406290499693856,0.32701603673011015,0.0027369790444230556,0.026783189586796968,0.014760084315610012,0.0027369790444230556,0.026783189586796968
117,CRV-USD,ALGO-USD,0.8601923184561083,1.5615731840826258e-14,0.5890948943328493,,,,,
118,CAKE-USD,ADA-USD,0.8599391042250419,0.24406290499693856,0.22547548292907893,0.00886114922258834,0.004279718001952766,0.006570433612270553,0.004279718001952766,0.00886114922258834
119,AAVE-USD,LTC-USD,0.8598533076393801,0.20165320520486646,0.20768405459933403,0.013078001778388226,0.01161448238465713,0.012346242081522678,0.01161448238465713,0.013078001778388226
120,BGB-USD,OM-USD,0.8598029793529848,0.9959896223745187,1.0,5.5006252276247366e-05,0.005278828733904018,0.0026669174930901325,5.5006252276247366e-05,0.005278828733904018
121,INJ-USD,WLD-USD,0.8596621222917856,0.6043170785793618,0.2510743248519077,0.15027530510567438,0.047346219754823254,0.09881076243024882,0.047346219754823254,0.15027530510567438
122,SOL-USD,BNB-USD,0.8596045225901793,0.8371735045947936,0.554857514374389,0.19237619049877258,0.08681570012435036,0.13959594531156147,0.08681570012435036,0.19237619049877258
123,CRV-USD,STX-USD,0.8594559989330721,1.5615731840826258e-14,0.5616286179316489,,,,,
124,FLOKI-USD,RENDER-USD,0.859415169057449,0.17350689475154707,0.36743276650405376,0.11324784371948549,0.22699160501949767,0.17011972436949158,0.11324784371948549,0.22699160501949767
125,RENDER-USD,KAS-USD,0.8590120632491408,0.4252679869183404,0.6709424923707794,0.12265283662536713,0.16860428190837023,0.14562855926686868,0.12265283662536713,0.16860428190837023
126,NEXO-USD,THETA-USD,0.8589854327020973,0.13705301752434623,0.1492778838825759,0.0055017546898099255,0.005520179865823,0.005510967277816463,0.0055017546898099255,0.005520179865823
127,SOL-USD,ETH-USD,0.8584614728337238,0.8371735045947936,0.22676966173015267,0.49563851986230195,0.1670415411179736,0.33134003049013777,0.1670415411179736,0.49563851986230195
128,INJ-USD,KAS-USD,0.8583612511374236,0.5360513150719782,0.6709424923707794,0.1642856980869843,0.12410646451635943,0.14419608130167186,0.12410646451635943,0.1642856980869843
129,THETA-USD,POL-USD,0.8581968817896601,5.717198050231166e-06,0.4957827565824214,,,,,
130,VET-USD,HBAR-USD,0.8581305059191996,0.043741794496021606,0.3947652426586486,,,,,
131,WLD-USD,RENDER-USD,0.8577878990312925,0.2510743248519077,0.5000275371386597,0.2374141428416413,0.5121259997023928,0.37477007127201706,0.2374141428416413,0.5121259997023928
132,BSV-USD,EOS-USD,0.8576272021817712,0.11374325738281221,0.41686967021358007,0.0726872226997839,0.2665194581476895,0.1696033404237367,0.0726872226997839,0.2665194581476895
133,FLOW-USD,DOT-USD,0.8572344995238186,0.27525229090413883,0.36649581671247533,0.03006576136868349,0.06838476274162965,0.049225262055156566,0.03006576136868349,0.06838476274162965
134,VET-USD,TON-USD,0.8569795472206796,0.048453594900285696,0.20338224358772516,,,,,
